Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
hotel-manager,io.github.dmgtechlabs.files,Images,7,6,0,0,9,0,0,0,-1,1,0
hotel-manager,io.github.dmgtechlabs.files,FileOperations,5,3,8,7,69,17,0,0,0.25,3,1
hotel-manager,io.github.dmgtechlabs.gui,HelpFrame,58,0,29,14,476,46,0,0,0.517241379310345,1,1
hotel-manager,io.github.dmgtechlabs.gui,AboutFrame,22,0,14,12,176,15,0,0,0.285714285714286,2,4
hotel-manager,io.github.dmgtechlabs.gui,GUIUtils,0,0,14,14,78,21,0,0,-1,8,1
hotel-manager,io.github.dmgtechlabs.gui,UserManagmentFrame,0,0,4,3,53,6,0,0,-1,1,1
hotel-manager,io.github.dmgtechlabs.gui,deleteUser,14,0,4,3,95,6,0,0,0.75,1,1
hotel-manager,io.github.dmgtechlabs.gui,EmailVerifier,0,0,2,2,16,3,0,0,-1,0,1
hotel-manager,io.github.dmgtechlabs.gui,StartingFrame,4,0,4,2,48,4,0,0,0.5,0,2
hotel-manager,io.github.dmgtechlabs.gui,CustomerFrame,7,0,16,7,128,23,0,0,0.75,1,2
hotel-manager,io.github.dmgtechlabs.gui,GUIMethods,0,0,20,19,169,28,0,0,-1,4,2
hotel-manager,io.github.dmgtechlabs.gui,RoomFrame,11,0,10,4,133,20,0,0,0.4,1,2
hotel-manager,io.github.dmgtechlabs.gui,UserFrame,13,0,18,10,225,27,0,0,0.611111111111111,2,2
hotel-manager,io.github.dmgtechlabs.gui,HotelFrame,15,0,13,6,187,23,0,0,0.461538461538462,2,3
hotel-manager,io.github.dmgtechlabs.gui,LoginFrame,8,0,14,8,173,19,0,0,0.857142857142857,1,3
hotel-manager,io.github.dmgtechlabs.gui,CreateReservationFrame,21,1,13,3,281,38,0,0,0.307692307692308,3,4
hotel-manager,io.github.dmgtechlabs.gui,MainFrame,107,1,79,39,1042,126,0,0,0.468354430379747,2,19
hotel-manager,io.github.dmgtechlabs.gui,Actions,1,1,6,6,40,7,0,0,0.666666666666667,2,4
hotel-manager,io.github.dmgtechlabs.gui,ReservationFrame,40,0,6,4,200,10,0,0,0.5,2,5
hotel-manager,io.github.dmgtechlabs.gui,RoomActionsFrame,8,0,6,3,71,6,0,0,0.666666666666667,1,5
hotel-manager,io.github.dmgtechlabs,State,2,2,0,0,7,0,0,0,-1,2,1
hotel-manager,io.github.dmgtechlabs,Filters,5,5,9,5,69,14,0,0,0.222222222222222,1,3
hotel-manager,io.github.dmgtechlabs,Range,2,2,4,0,16,4,0,0,0.5,1,0
hotel-manager,io.github.dmgtechlabs,Main,0,0,2,1,21,2,0,0,-1,1,1
hotel-manager,io.github.dmgtechlabs,Utils,0,0,21,21,104,27,0,0,-1,4,0
hotel-manager,io.github.dmgtechlabs.db,Dao,0,0,4,3,8,4,0,0,-1,0,0
hotel-manager,io.github.dmgtechlabs.exceptions,PermissionDenied,0,0,2,2,11,2,0,0,-1,0,0
hotel-manager,io.github.dmgtechlabs.models,Customer,5,0,22,21,138,25,0,0,0.0909090909090909,6,2
hotel-manager,io.github.dmgtechlabs.models,Room,8,0,29,27,177,36,0,0,0.241379310344828,8,2
hotel-manager,io.github.dmgtechlabs.models,Statistics,5,5,1,1,55,3,0,0,0,1,0
hotel-manager,io.github.dmgtechlabs.models,User,6,0,28,27,200,37,0,0,0,5,1
hotel-manager,io.github.dmgtechlabs.models,Reservation,8,0,34,32,186,39,0,0,0.176470588235294,5,3
hotel-manager,io.github.dmgtechlabs.models,Hotel,6,0,30,28,254,50,0,0,0.166666666666667,6,2
